name,pts,season
James Harden, 9.9,2009
James Harden,12.2,2010
James Harden,16.8,2011
James Harden,25.9,2012
James Harden,25.4,2013
James Harden,27.4,2014
James Harden,29.0,2015
James Harden,29.1,2016
James Harden,30.4,2017
Russel Westbrook,15,2009
Russel Westbrook,16,2010
Russel Westbrook,19,2011
Russel Westbrook,23,2012
Russel Westbrook,18,2013
Russel Westbrook,24,2014
Russel Westbrook,25,2016
Russel Westbrook,29,2017
LeBron James,28.4,2009
LeBron James,29.7,2010
LeBron James,26.7,2011
LeBron James,27.1,2012
LeBron James,26.8,2013
LeBron James,27.1,2014
LeBron James,25.3,2015
LeBron James,25.3,2016
LeBron James,26.4,2017
